amazon|amazon_link|hulu|hulu_link|imdbid|netflix|netflix_link
0||0||0443272|0|
0||0||1853728|0|
0||0||1735898|0|
0||0||1707386|0|
0||0||1232829|0|
0||0||1024648|0|
0||0||1045658|0|
0||0||1446714|0|
0||0||1599348|0|
0||0||1915581|0|
0||0||1194173|0|
0||0||1397514|0|
0||0||1446192|0|
0||0||1790885|0|
0||0||1764651|0|
0||0||0790724|0|
0||0||1758830|0|
0||0||1524137|0|
0||0||1276104|0|
0||0||1440129|0|
0||0||1981677|0|
0||0||1667353|0|
0||0||1706593|0|
0||0||1645170|0|
0||0||1596365|0|
0||0||2023453|0|
0||0||1922777|0|
0||0||1748122|0|
0||0||0383010|0|
0||0||1259521|0|
0||0||1855199|0|
0||0||1212450|0|
0||0||1142977|0|
0||0||1430626|0|
0||0||1195478|0|
0||1|http://www.hulu.com/watch/850271|1951264|0|
0||0||1300854|0|
0||0||1690953|0|
0||0||1454468|0|
0||0||1453405|0|
0||0||1170358|0|
0||0||1623205|0|
0||0||1408101|0|
0||0||1981115|0|
0||0||0816711|0|
0||0||0481499|0|
0||0||2404463|0|
0||0||1800241|0|
1|https://www.amazon.com/Conjuring-Vera-Farmiga/dp/B00G32TD98|0||1457767|0|
0||0||1430132|0|
0||0||1229340|0|
0||0||1091191|0|
0||0||1985966|0|
0||0||0993846|0|
0||0||1327773|0|
0||0||1535109|0|
0||0||1663662|0|
0||0||2302755|0|
0||0||1535108|0|
0||0||1691917|0|
0||0||1483013|0|
0||0||2226417|0|
0||0||1860353|0|
0||0||2334879|0|
0||0||2023587|0|
0||0||1854564|0|
0||0||1588173|0|
0||0||2184339|0|
0||0||1980209|0|
0||0||2234155|0|
0||0||0882977|0|
0||0||1411250|0|
0||0||1335975|0|
0||0||1322269|0|
0||0||2431286|1|https://www.netflix.com/title/70293789
0||0||2334873|0|
0||0||2609912|0|
0||0||2053463|0|
0||0||1661382|0|
0||0||2515086|0|
0||0||0790636|0|
0||0||1213663|0|
0||0||2179136|0|
0||0||1951265|0|
0||0||2015381|0|
0||0||1843866|0|
0||0||2310332|0|
0||0||1587310|0|
0||0||1877832|0|
0||0||2245084|0|
0||0||2103281|0|
0||0||0831387|0|
0||1|http://www.hulu.com/watch/850384|1291150|0|
0||0||1646971|0|
0||0||2267998|0|
0||0||1840309|0|
0||0||2004420|0|
0||0||2582846|0|
0||0||1809398|0|
0||0||2692250|0|
0||0||0864835|0|
0||0||1253863|0|
0||0||1631867|0|
0||0||2024469|0|
1||0||2084970|1|https://www.netflix.com/title/70295172
0||0||3322940|0|
0||0||1911658|1|https://www.netflix.com/title/80013941
0||1||1267297|0|
0||0||2975578|0|
0||0||2278388|0|
1||0||1234721|0|
0||0||2170439|0|
1||1||1020072|0|
0||0||2281587|0|
0||0||1204977|0|
0||0||0787474|0|
0||0||2262227|0|
0||0||1086772|0|
0||0||0435651|1|https://www.netflix.com/title/70307663
0||0||2911666|0|
0||0||2562232|0|
0||0||2978462|0|
0||0||1647668|0|
0||0||2980516|0|
1||1||2039393|0|
0||1||2473682|0|
0||0||2872718|1|https://www.netflix.com/title/70295182
0||0||2883512|1|https://www.netflix.com/title/70297087
0||0||2473602|0|
0||0||2223990|0|
0||0||0365907|0|
0||0||1065073|1|https://www.netflix.com/title/70301281
0||0||0369610|0|
0||0||2395427|0|
1||0||2820852|0|
0||0||2293640|1|https://www.netflix.com/title/80033394
1|https://www.amazon.com/Martian-Michael-Peña/dp/B018HJ03UC|0||3659388|0|
1|https://www.amazon.com/Cinderella-Theatrical-Cate-Blanchett/dp/B015DYLAHO|0||1661199|0|
0||0||2379713|0|
1||1||2381249|0|
1|https://www.amazon.com/Pitch-Perfect-2-Anna-Kendrick/dp/B015O6OZUA|0||2848292|0|
0||0||0478970|0|
0||0||2510894|1|https://www.netflix.com/title/80048061
