awards|imdbid|oscars
Nominated for 6 Oscars. Another 59 wins & 214 nominations.|2402927|nom
1 nomination.|4191054|none
2 nominations.|2637294|none
N/A|2140379|none
6 nominations.|2935476|none
1 win & 2 nominations.|2006295|none
Won 1 Oscar. Another 26 wins & 69 nominations.|0810819|won
N/A|2515034|none
N/A|2358925|none
2 wins & 14 nominations.|3488710|none
Nominated for 1 Golden Globe. Another 1 win & 3 nominations.|3722070|none
1 nomination.|4643580|none
Won 1 Oscar. Another 43 wins & 37 nominations.|2870648|won
14 wins.|3863552|none
1 nomination.|3819668|none
2 nominations.|2717822|none
Nominated for 1 Oscar. Another 3 wins & 36 nominations.|3203606|nom
4 nominations.|3045616|none
7 nominations.|3236120|none
1 nomination.|1018765|none
Nominated for 1 Golden Globe. Another 3 wins & 8 nominations.|4270516|none
15 wins & 26 nominations.|2582496|none
1 win & 7 nominations.|2631186|none
25 wins & 6 nominations.|3735246|none
1 nomination.|1810683|none
3 wins & 1 nomination.|1976009|none
Nominated for 1 Golden Globe. Another 1 win & 2 nominations.|1772288|none
1 win.|4535650|none
N/A|4337690|none
3 nominations.|2273657|none
14 wins & 11 nominations.|3077214|none
2 wins.|3595298|none
Nominated for 1 Oscar. Another 19 wins & 47 nominations.|3544082|nom
2 nominations.|3715320|none
Nominated for 1 Oscar. Another 18 wins & 66 nominations.|2401878|nom
1 nomination.|1727776|none
N/A|4357170|none
2 wins & 2 nominations.|3233418|none
N/A|3787590|none
N/A|3654580|none
N/A|5135876|none
3 wins & 3 nominations.|4110568|none
N/A|4296800|none
2 wins & 1 nomination.|2140465|none
N/A|3164256|none
3 wins & 15 nominations.|3416744|none
Nominated for 1 Oscar. Another 13 wins & 36 nominations.|3312830|nom
Nominated for 1 BAFTA Film Award. Another 4 wins & 11 nominations.|3065132|none
4 wins & 12 nominations.|4594834|none
N/A|3268668|none
1 win & 3 nominations.|3859076|none
1 win & 11 nominations.|2872462|none
N/A|4383208|none
4 wins & 11 nominations.|2545428|none
1 win.|3719896|none
2 nominations.|3614530|none
2 wins.|3148502|none
Nominated for 5 Oscars. Another 30 wins & 95 nominations.|2488496|nom
N/A|4861744|none
4 wins & 10 nominations.|3569230|none
15 wins & 2 nominations.|3767372|none
N/A|1524575|none
Won 1 Oscar. Another 45 wins & 38 nominations.|3808342|won
N/A|5181838|none
N/A|4691166|none
15 wins & 31 nominations.|3172532|none
1 nomination.|2302966|none
2 wins & 5 nominations.|4701702|none
1 nomination.|2802136|none
1 win & 6 nominations.|1243974|none
