awards|imdbid|oscars
1 win & 2 nominations.|0267626|none
4 nominations.|0302640|none
2 wins & 5 nominations.|0297181|none
N/A|0293815|none
Won 3 Oscars. Another 52 wins & 70 nominations.|0253474|won
1 win.|0289848|none
2 nominations.|0264935|none
6 wins & 21 nominations.|0265459|none
1 nomination.|0220506|none
7 nominations.|0238546|none
1 nomination.|0259288|none
Nominated for 1 Golden Globe. Another 1 win.|0280460|none
N/A|0280486|none
1 nomination.|0288477|none
1 nomination.|0241760|none
N/A|0283026|none
1 win & 1 nomination.|0305396|none
2 wins & 18 nominations.|0297037|none
1 win.|0309377|none
N/A|0278295|none
Won 2 Oscars. Another 14 wins & 42 nominations.|0120679|won
1 nomination.|0298388|none
N/A|0293662|none
1 win & 4 nominations.|0253867|none
1 win & 3 nominations.|0271263|none
Won 1 Oscar. Another 60 wins & 94 nominations.|0268126|won
1 nomination.|0269095|none
Won 1 Oscar. Another 38 wins & 11 nominations.|0310793|won
2 nominations.|0283111|none
19 wins & 21 nominations.|0168786|none
N/A|0327036|none
1 win & 3 nominations.|0283084|none
1 win.|0251114|none
2 wins & 4 nominations.|0246894|none
N/A|0240510|none
Nominated for 1 Golden Globe. Another 14 wins & 34 nominations.|0272338|none
2 nominations.|0262396|none
1 nomination.|0271367|none
2 nominations.|0276033|none
N/A|0261289|none
3 wins & 7 nominations.|0283139|none
N/A|0240468|none
7 wins & 11 nominations.|0270288|none
Nominated for 4 Oscars. Another 100 wins & 86 nominations.|0297884|nom
4 nominations.|0297162|none
2 wins & 11 nominations.|0307479|none
1 nomination.|0282687|none
5 nominations.|0308208|none
2 nominations.|0283530|none
1 win & 1 nomination.|0265808|none
5 wins & 16 nominations.|0279113|none
1 nomination.|0314166|none
1 nomination.|0247444|none
3 wins & 3 nominations.|0295254|none
Nominated for 1 Golden Globe. Another 4 wins & 14 nominations.|0307901|none
Nominated for 1 Oscar. Another 13 wins & 13 nominations.|0258068|nom
1 win & 1 nomination.|0283632|none
2 nominations.|0281322|none
N/A|0289408|none
N/A|0353164|none
1 nomination.|0267248|none
1 win & 8 nominations.|0272207|none
1 win & 1 nomination.|0279781|none
1 nomination.|0256276|none
2 wins & 1 nomination.|0292631|none
1 nomination.|0258153|none
Won 1 Oscar. Another 41 wins & 42 nominations.|0287467|won
Nominated for 1 Oscar. Another 14 wins & 53 nominations.|0121765|nom
2 wins & 2 nominations.|0278500|none
2 nominations.|0266452|none
N/A|0246464|none
N/A|0280380|none
1 win & 6 nominations.|0179098|none
8 wins & 10 nominations.|0221013|none
1 win & 3 nominations.|0280665|none
2 wins & 3 nominations.|0292644|none
Nominated for 1 Golden Globe. Another 23 wins & 23 nominations.|0252444|none
1 win & 1 nomination.|0231448|none
7 wins & 4 nominations.|0296166|none
Nominated for 1 Oscar. Another 21 wins & 14 nominations.|0313196|nom
2 nominations.|0270707|none
N/A|0240900|none
1 nomination.|0278823|none
1 nomination.|0283160|none
Nominated for 2 Golden Globes. Another 7 wins & 15 nominations.|0280760|none
