Harry Potter and the Chamber of Secrets|$261,988,482|$88,357,488|3,682|2002
My Big Fat Greek Wedding|$241,438,208|$597,362|2,016|2002
Signs|$227,966,634|$60,117,080|3,453|2002
Austin Powers in Goldmember|$213,307,889|$73,071,188|3,613|2002
Men in Black II|$190,418,803|$52,148,751|3,641|2002
Ice Age|$176,387,405|$46,312,454|3,345|2002
Chicago|$170,687,518|$2,074,929|2,701|2002
Catch Me If You Can|$164,615,351|$30,053,627|3,225|2002
Die Another Day|$160,942,139|$47,072,040|3,377|2002
Scooby-Doo|$153,294,164|$54,155,312|3,447|2002
Lilo & Stitch|$145,794,338|$35,260,212|3,222|2002
XXX|$142,109,382|$44,506,103|3,536|2002
The Santa Clause 2|$139,236,327|$29,008,696|3,352|2002
Minority Report|$132,072,926|$35,677,125|3,001|2002
The Ring|$129,128,133|$15,015,393|2,927|2002
Sweet Home Alabama|$127,223,418|$35,648,740|3,313|2002
Mr. Deeds|$126,293,452|$37,162,787|3,239|2002
The Bourne Identity|$121,661,683|$27,118,640|2,663|2002
The Sum of All Fears|$118,907,036|$31,178,526|3,230|2002
8 Mile|$116,750,901|$51,240,555|2,585|2002
Road to Perdition|$104,454,762|$22,079,481|2,332|2002
Panic Room|$96,397,334|$30,056,751|3,119|2002
Maid in Manhattan|$94,011,225|$18,711,407|3,050|2002
Two Weeks Notice|$93,354,851|$14,328,494|2,755|2002
Space Station 3-D (IMAX)|$93,207,742|$489,488|64|2002
Red Dragon|$93,149,898|$36,540,945|3,363|2002
The Scorpion King|$91,047,077|$36,075,875|3,466|2002
Spy Kids 2: The Island of Lost Dreams|$85,846,429|$16,711,716|3,307|2002
Blade II|$82,348,319|$32,528,016|2,707|2002
Snow Dogs|$81,172,560|$17,814,259|2,454|2002
We Were Soldiers|$78,122,718|$20,212,543|3,143|2002
Gangs of New York|$77,812,000|$9,496,870|2,340|2002
Barbershop|$75,782,105|$20,627,433|2,176|2002
The Rookie|$75,600,072|$16,021,684|2,543|2002
Spirit: Stallion of the Cimarron|$73,280,117|$17,770,036|3,362|2002
John Q.|$71,756,802|$20,275,194|2,505|2002
Divine Secrets of the Ya-Ya Sisterhood|$69,599,016|$16,167,412|2,792|2002
Insomnia|$67,355,513|$20,930,169|2,610|2002
Changing Lanes|$66,818,548|$17,128,062|2,642|2002
About Schmidt|$65,016,287|$282,367|1,240|2002
Stuart Little 2|$64,956,806|$15,115,152|3,282|2002
Jackass: The Movie|$64,255,312|$22,763,437|2,532|2002
The Time Machine|$56,832,494|$22,610,437|2,958|2002
Drumline|$56,399,184|$12,604,705|1,837|2002
The Count of Monte Cristo|$54,234,062|$11,376,150|2,211|2002
Unfaithful|$52,775,765|$14,065,277|2,625|2002
Like Mike|$51,432,760|$12,179,420|2,436|2002
The Tuxedo|$50,547,998|$15,051,028|3,022|2002
Return to Never Land|$48,430,258|$11,889,631|2,626|2002
Big Fat Liar|$48,360,547|$11,554,015|2,534|2002
Star Trek: Nemesis|$43,254,409|$18,513,305|2,711|2002
Reign of Fire|$43,061,982|$15,632,281|2,629|2002
The Hours|$41,675,994|$338,622|1,010|2002
High Crimes|$41,543,917|$14,005,550|2,747|2002
About a Boy|$41,385,278|$8,557,630|1,756|2002
A Walk to Remember|$41,281,092|$12,177,488|2,420|2002
Orange County|$41,076,018|$15,053,226|2,317|2002
Windtalkers|$40,914,068|$14,520,412|2,898|2002
Blue Crush|$40,390,647|$14,169,455|3,015|2002
The Master of Disguise|$40,388,794|$12,554,650|2,568|2002
Resident Evil|$40,119,709|$17,707,106|2,528|2002
The Wild Thornberrys|$40,108,697|$6,013,847|3,012|2002
Collateral Damage|$40,077,257|$15,058,432|2,824|2002
Enough|$40,007,742|$14,009,653|2,623|2002
Undercover Brother|$39,089,928|$12,037,685|2,169|2002
Treasure Planet|$38,176,783|$12,083,248|3,227|2002
Showtime|$38,082,712|$15,011,430|2,917|2002
40 Days and 40 Nights|$37,950,822|$12,229,529|2,399|2002
Crossroads|$37,191,304|$14,527,187|2,713|2002
Clockstoppers|$36,989,956|$10,108,333|2,563|2002
The Mothman Prophecies|$35,746,370|$11,208,851|2,331|2002
E.T. (20th Anniversary)|$35,306,015|$14,223,110|3,007|2002
K-19: The Widowmaker|$35,168,966|$12,778,459|2,830|2002
The Hot Chick|$35,081,594|$7,401,146|2,246|2002
I Spy|$33,561,137|$12,752,803|3,182|2002
Friday After Next|$33,253,609|$13,010,767|1,621|2002
The Pianist|$32,572,577|$111,261|842|2002
Analyze That|$32,130,627|$11,034,422|2,635|2002
Murder by Numbers|$31,945,749|$9,307,394|2,663|2002
One Hour Photo|$31,597,131|$321,515|1,332|2002
Halloween: Resurrection|$30,354,442|$12,292,121|2,094|2002
Queen of the Damned|$30,336,800|$14,757,535|2,511|2002
Dragonfly|$30,323,400|$10,216,025|2,507|2002
The Banger Sisters|$30,307,416|$10,037,846|2,739|2002
Bad Company|$30,160,161|$11,007,367|2,944|2002
Ghost Ship|$30,113,491|$11,503,423|2,787|2002
The New Guy|$29,760,152|$9,007,833|2,687|2002
SwimFan|$28,564,995|$11,326,601|2,860|2002
